Previous name,Current name,Index,Changed?,Comment
"375th Medical Group, Scott Air Force Base","375th Medical Group, Scott Air Force Base",0,,
"3D Medicines (Sichuan) Co., Ltd.","3D Medicines (Sichuan) Co., Ltd.",1,,
3M,3M,2,,
"3V Biosciences, Inc.","3V Biosciences, Inc.",3,,
4Clinics,4Clinics,4,,
4DPharma PLC,4DPharma PLC,5,,
60 Degrees Pharmaceuticals LLC,60 Degrees Pharmaceuticals LLC,6,,
A Kids Brain Tumor Cure,A Kids Brain Tumor Cure,7,,
A2 Healthcare Taiwan Corporation,A2 Healthcare Taiwan Corporation,8,,
AA Secord,AA Secord,9,,
AB Science,AB Science,10,,
AB2 Bio Ltd.,AB2 Bio Ltd.,11,,
ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc.,12,,
ADAGP Charitable Foundation dba Auto Dealers CARing for Kids Foundation,ADAGP Charitable Foundation dba Auto Dealers CARing for Kids Foundation,13,,
ADC Therapeutics S.A.,ADC Therapeutics S.A.,14,,
ADIR Association,ADIR Association,15,,
AEterna Zentaris,AEterna Zentaris,16,,
"AGA Clinical Research Associates, LLC","AGA Clinical Research Associates, LLC",17,,
AHRM,AHRM,18,,
AHS Cancer Control Alberta,AHS Cancer Control Alberta,19,,
AIDS Clinical Trials Group,AIDS Clinical Trials Group,20,,
AIDS Healthcare Foundation,AIDS Healthcare Foundation,21,,
AIDS Malignancy Consortium,AIDS Malignancy Consortium,22,,
AIDS Project Los Angeles,AIDS Project Los Angeles,23,,
AIDS and Cancer Specimen Resource,AIDS and Cancer Specimen Resource,24,,
AKARI Therapeutics,AKARI Therapeutics,25,,
"ALD Connect, Inc.","ALD Connect, Inc.",26,,
ALK-Abelló A/S,ALK-Abelló A/S,27,,
ALS Association,ALS Association,28,,
ALS Finding a Cure Foundation,ALS Association,28,Changed,
ALX Oncology Inc.,ALX Oncology Inc.,29,,
ALshaimaa Aboalhassan Ali,ALshaimaa Aboalhassan Ali,30,,
"AMAG Pharmaceuticals, Inc.","AMAG Pharmaceuticals, Inc.",31,,
AOBiome LLC,AOBiome LLC,32,,
API Wellness,API Wellness,33,,
ARC Foundation for Cancer Research,ARC Foundation for Cancer Research,34,,
ARMO BioSciences,ARMO BioSciences,35,,
"AVEO Pharmaceuticals, Inc.","AVEO Pharmaceuticals, Inc.",36,,
"Aadi, LLC","Aadi, LLC",37,,
Aalborg University,Aalborg University,38,,University
Aarhus University Hospital,Aarhus University Hospital,39,,University
AbGenomics B.V Taiwan Branch,AbGenomics,40,Changed,
"AbGenomics International, Inc.",AbGenomics,40,Changed,
AbbVie,AbbVie,41,,
"AbbVie (prior sponsor, Abbott)",AbbVie,41,Changed,
Abbott,Abbott,42,,
"Abdelwahed, Mai Mahmoud Mohamed, M.D.","Abdelwahed, Mai Mahmoud Mohamed, M.D.",43,,Doctor
Abdullah Kutlar,Abdullah Kutlar,44,,
"Abeona Therapeutics, Inc","Abeona Therapeutics, Inc",45,,
Ability Pharmaceuticals SL,Ability Pharmaceuticals SL,46,,
"Ablative Solutions, Inc.","Ablative Solutions, Inc.",47,,
Ablynx,Ablynx,48,,
Abramson Cancer Center of the University of Pennsylvania,Abramson Cancer Center of the University of Pennsylvania,49,,University
Acacia Pharma Ltd,Acacia Pharma Ltd,50,,
Academic and Community Cancer Research United,Academic and Community Cancer Research United,51,,
Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),52,,
Acasti Pharma Inc.,Acasti Pharma Inc.,53,,
Accelerate Brain Cancer Cure,Accelerate Brain Cancer Cure,54,,
"Acceleron Pharma, Inc.","Acceleron Pharma, Inc.",55,,
Accelovance,Accelovance,56,,
"Accera, Inc.","Accera, Inc.",57,,
Access Community Health Network,Access Community Health Network,58,,
"Accuitis, Inc.","Accuitis, Inc.",59,,
"AcelRx Pharmaceuticals, Inc.","AcelRx Pharmaceuticals, Inc.",60,,
Acerta Pharma,Acerta Pharma,61,,
Acerta Pharma BV,Acerta Pharma,61,Changed,
Acerus Pharmaceuticals Corporation/ Aytu Biosciences Inc.,Acerus Pharmaceuticals Corporation/ Aytu Biosciences Inc.,62,,
Acetylon Pharmaceuticals Incorporated,Acetylon Pharmaceuticals Incorporated,63,,
"Achaogen, Inc.","Achaogen, Inc.",64,,
Achieve Life Sciences,Achieve Life Sciences,65,,
Achillion Pharmaceuticals,Achillion Pharmaceuticals,66,,
Acist Medical Systems,Acist Medical Systems,67,,
"Aclaris Therapeutics, Inc.","Aclaris Therapeutics, Inc.",68,,
Acorda Therapeutics,Acorda Therapeutics,69,,
Actavis Inc.,Actavis Inc.,70,,
Actelion,Actelion,71,,
Actinogen Medical,Actinogen Medical,72,,
Actuate Therapeutics Inc.,Actuate Therapeutics Inc.,73,,
"Actus Therapeutics, Inc.","Actus Therapeutics, Inc.",74,,
Adam Boxer,Adam Boxer,75,,Doctor
"Adam Burgoyne, MD, PhD","Adam Burgoyne, MD, PhD",76,,Doctor
Adam Olszewski,Adam Olszewski,77,,Doctor
Adam Thaler,Adam Thaler,78,,Doctor
"Adamas Pharmaceuticals, Inc.","Adamas Pharmaceuticals, Inc.",79,,
Adaptimmune,Adaptimmune,80,,
"Adare Pharmaceuticals, Inc.","Adare Pharmaceuticals, Inc.",81,,
Addario Lung Cancer Medical Institute,Addario Lung Cancer Medical Institute,82,,
"Adello Biologics, LLC","Adello Biologics, LLC",83,,
Adelson Medical Research,Adelson Medical Research,84,,
Adienne SA,Adienne SA,85,,
Adilia Hormigo,Adilia Hormigo,86,,
Aditya Kaza,Aditya Kaza,87,,
"Adlai Nortye Biopharma Co., Ltd.","Adlai Nortye Biopharma Co., Ltd.",88,,
"Admir Hadzic, M.D., Ph.D.","Admir Hadzic, M.D., Ph.D.",89,,Doctor
Adnan Menderes University,Adnan Menderes University,90,,University
Adolescent and Young Adult (AYA) Cancer Program,Adolescent and Young Adult (AYA) Cancer Program,91,,
Adolfo Enrique Diaz Duque,Adolfo Enrique Diaz Duque,92,,
Adrian Hernandez,Adrian Hernandez,93,,
"Aduro Biotech, Inc.","Aduro Biotech, Inc.",94,,
Advanced Accelerator Applications,Advanced Accelerator Applications,95,,
Advanced Eye Research Associates,Advanced Eye Research Associates,96,,
Advanced MR Analytics AB,Advanced MR Analytics AB,97,,
"Advantage Dental Services, LLC","Advantage Dental Services, LLC",98,,
"Advantagene, Inc.","Advantagene, Inc.",99,,
"Advaxis, Inc.","Advaxis, Inc.",100,,
"Advenchen Laboratories, LLC","Advenchen Laboratories, LLC",101,,
"Adverum Biotechnologies, Inc.","Adverum Biotechnologies, Inc.",102,,
Advicenne Pharma,Advicenne Pharma,103,,
Advocate Illinois Masonic Medical Center,Advocate Illinois Masonic Medical Center,104,,
"Adynxx, Inc.","Adynxx, Inc.",105,,
AegisCN LLC,AegisCN LLC,106,,
Aeglea Biotherapeutics,Aeglea Biotherapeutics,107,,
Aelis Farma,Aelis Farma,108,,
"Aeon Therapeutics (Shanghai) Co., Ltd.","Aeon Therapeutics (Shanghai) Co., Ltd.",109,,
Aeras,Aeras,110,,
Aerie Pharmaceuticals,Aerie Pharmaceuticals,111,,
Aerogen Pharma Limited,Aerogen Pharma Limited,112,,
Aerpio Therapeutics,Aerpio Therapeutics,113,,
"Aesculap Biologics, LLC","Aesculap Biologics, LLC",114,,
Aevi Genomic Medicine,Aevi Genomic Medicine,115,,
"Afferent Pharmaceuticals, Inc.","Afferent Pharmaceuticals, Inc.",116,,
Affibody,Affibody,117,,
Affiliated Hospital of Qinghai University,Affiliated Hospital of Qinghai University,118,,University
Afimmune,Afimmune,119,,
Aga Khan University,Aga Khan University,120,,University
Agency for Healthcare Research and Quality (AHRQ),Agency for Healthcare Research and Quality (AHRQ),121,,
AgeneBio,AgeneBio,122,,
Agenus Inc.,Agenus Inc.,123,,
Agile Therapeutics,Agile Therapeutics,124,,
"Agility Clinical, Inc.","Agility Clinical, Inc.",125,,
"Agios Pharmaceuticals, Inc.","Agios Pharmaceuticals, Inc.",126,,
Ahmed Abdelkawi Hammad,Ahmed Abdelkawi Hammad,127,,Doctor
Ahmed Mohamed Mahrous,Ahmed Mohamed Mahrous,128,,Doctor
Ahmed Nasr,Ahmed Nasr,129,,Doctor
"Ahmed Osama Gaber, MD","Ahmed Osama Gaber, MD",130,,Doctor
